stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening J:\Sudoku\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.18873] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18876] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18878] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18887] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18889] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18892] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18895] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18901] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18904] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18906] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18914] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18917] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18920] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18922] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18925] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18933] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18936] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18938] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18942] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18945] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18950] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18953] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18955] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18966] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18972] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18975] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18981] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18983] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18986] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18988] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18991] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18994] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18997] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19000] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19003] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19005] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19008] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19011] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19014] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19016] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19019] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19022] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19025] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19027] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19032] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19038] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19041] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19043] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19046] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19049] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19052] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19054] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19057] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19060] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19063] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19065] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19068] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19071] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19074] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19076] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19079] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19081] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19085] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19087] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19090] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19092] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19099] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19102] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19104] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19107] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19112] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19115] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19118] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19120] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19123] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19126] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19129] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19131] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19134] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19137] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19140] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19142] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19145] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19148] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19151] Single Buffer requirement not met.
